_id,playerId,gameId,roundId,stageId,name,jsonData,createdAt
7gRgiGYnze4wjRgWk,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""movedStudent"",""object"":""goat"",""at"":1682608105469}",2023-04-27T15:08:25Z
dXvj4Bm4TK2YjEX2Z,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""caterpillar"",""at"":1682608106036}",2023-04-27T15:08:26Z
JrcT35dy7dPBjkdSm,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608106638}",2023-04-27T15:08:26Z
67umEMZhafZ8Zb8kQ,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""goat"",""at"":1682608109418}",2023-04-27T15:08:29Z
kx4o4ghgowg7a4XLk,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608110041}",2023-04-27T15:08:30Z
gweQvHG4jzGXbxfic,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""goat"",""at"":1682608113818}",2023-04-27T15:08:33Z
DKrfQMMjESXhDr9XR,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""boat"",""at"":1682608114384}",2023-04-27T15:08:34Z
8NFXzKtaewwkHrTeh,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""goat"",""at"":1682608118404}",2023-04-27T15:08:38Z
zrnvsheNJXAJJuvwA,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""releasedStudent"",""object"":""goat"",""at"":1682608118839}",2023-04-27T15:08:38Z
mZeTQpPMgvpDNyaSh,zw7aPjjQWheRiJL2n,q9itrt5HqFRzutqoh,KL2cJvEpjWXDkzfFA,tAv8znJEXxWfHMTsn,action,"{""verb"":""draggingStudent"",""object"":""goat"",""at"":1682608119735}",2023-04-27T15:08:39Z
