task,html,github,path,script
Recall images,"<h2>Recall images</h2><br><h2>1. Set-Up</h2><p>Participants receive a certain number of images to memorize on individual screens.</p><br><h2>2. Objective / Goal</h2><p>The goal is to memorize all target images within a fixed amount of time and to be able to identify them later from a lineup of old and new images.</p><p>For example, participants can be given 20 seconds to memorize six target faces and then asked to identify those target faces at a later time. At the later time period, they could be consecutively shown 15 sets of three faces (6 previously seen, and 39 new), and asked to pick out which faces were the images that they had previously seen before.</p><p>Participants are evaluated on the number of correctly recalled images. They earn the maximum score when they recall all images correctly (e.g., select the 6 original faces out of 45). This means they need to correctly identify all the images that they had seen before, and avoid mis-identifying a new image as something they had previously seen.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/eca5a325d6c0b2ad89042bd37775530b822d9710,tasks/summaries/Recall images-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Railroad Route Construction game,"<h2>Railroad Route Construction game</h2><br><h2>1. Set-Up</h2><p>Participants see a shared visual of a map, consisting of a grid in which each square is a place where players can place a ""railroad track"" piece. Some parts of the map are blocked off &mdash; for example, because there is a tree or other obstacle in that location &mdash; and therefore railroad tracks cannot be placed there. There is a ""start"" and ""finish"" marked on the map.</p><p>Participants also get a collection of several different types of railroad tracks. Some track pieces are bent like an elbow, and there are versions that bend downwards, bend upwards, and so on. Other pieces are straight. Participants are given enough pieces to be able to build a railroad that connects the start and finish.</p><br><h2>2. Objective / Goal</h2><p>The goal of the game is to build a railroad using the given puzzle pieces to connect the starting point to the finish point. Participants have to avoid the obstacles (places where you cannot place railroad tracks) &mdash; therefore, they need to use a mixture of bent tracks and straight tracks to navigate the map. Any path that runs smoothly from the start to the finish counts as a success, so there is no specific final path or ""ideal"" route.</p><p>Participants must finish the game before the time runs out, but are able to visually see their progress on the screen throughout the game (since everyone is clicking, dragging, and interacting with it directly). Participants are evaluated on whether or not they are able to connect the start to the finish: if they do not make it in time, they receive no credit. There is no partial credit for building only part of the railroad.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/6aed3040229d59b35254c80656fee1588b54bb9f,tasks/summaries/Railroad Route Construction game-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Railroad Route Construction game (Impossible Version),"<h2>Railroad Route Construction game (Impossible Version)</h2><br><h2>1. Set-Up</h2><p>Participants see a shared visual of a map, consisting of a grid in which each square is a place where players can place a ""railroad track"" piece. Some parts of the map are blocked off &mdash; for example, because there is a tree or other obstacle in that location &mdash; and therefore railroad tracks cannot be placed there. There is a ""start"" and ""finish"" marked on the map.</p><p>Participants also get a collection of several different types of railroad tracks. Some track pieces are bent like an elbow, and there are versions that bend downwards, bend upwards, and so on. Other pieces are straight. </p><p>Importantly, participants do NOT have enough pieces to successfully build a railroad that connects from the start to the finish. A piece is missing, which makes this game impossible to complete. However, participants are not told that a piece is missing.</p><br><h2>2. Objective / Goal</h2><p>The goal of the game is to build a railroad using the given puzzle pieces to connect the starting point to the finish point. Participants have to avoid the obstacles (places where you cannot place railroad tracks) &mdash; therefore, they need to use a mixture of bent tracks and straight tracks to navigate the map. Any path that runs smoothly from the start to the finish counts as a success, but since there is a piece missing, there is actually no solution to this puzzle.</p><p>Participants aim to finish the game before the time runs out, and are able to visually see their progress on the screen throughout the game (since everyone is clicking, dragging, and interacting with it directly). Participants are evaluated on whether or not they are able to connect the start to the finish: if they do not make it in time, they receive no credit. </p><p>However, since there is no partial credit and the game is missing a critical piece, all participants lose. There is no way to win.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/3faf39f9336620c7f8e78e2da2eb65f383646a91,tasks/summaries/Railroad Route Construction game (Impossible Version)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Estimating geological metrics,"<h2>Estimating geological metrics</h2><br><h2>1. Set-Up</h2><p>Participants are given a series of questions on estimating geological metrics. For example, participants can be asked to estimate the number of miles from New York to Los Angeles or the number of U.S. states that border the Gulf of Mexico.</p><br><h2>2. Objective / Goal</h2><p>The goal is to answer a series of questions within a fixed amount of time as close to the correct answer as possible without looking up the solutions online.</p><p>Participants are evaluated based on the percent difference of their estimation from the correct answer. Participants receive the maximum score if their estimation is exactly like the correct answer and the percent difference between them is 0. Participants maximize their score by submitting an estimation that is as close to the right answer as possible. For example, because the distance between New York and Los Angeles is 2446.3 miles, participants get the maximum score if their estimation is 2446.3, while an estimation of 2400 miles receives a higher score than an estimation of 2000 miles.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/8d50ef06e8b5f90d384642bf3298043759673c86,tasks/summaries/Estimating geological metrics-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
The Fish game,"<h2>The Fish game</h2><br><h2>1. Set-Up</h2><p>The participants see a shared virtual canvas with many different cursors moving around. Each participant controls their own cursor (which is denoted by a unique color and the word ""YOU""). Participants are able to use the controls to move their cursor and ""walk"" around the virtual space.</p><p>An underlying system sets a ""point value"" for each location in the space. That is, walking to specific locations in the virtual space will earn the participant more points. Participants will be able to see how many points their current location gives them, and they will also see the running total of how many points they earned so far. However, participants do not know where the high-point-earning locations are, so they must wander around the virtual room. Participants lose all their points if they touch the wall.</p><br><h2>2. Objective / Goal</h2><p>The goal is to maximize points in the game by discovering and moving your cursor to the highest point-earning locations in the virtual space. Participants try to get as many points as possible before the time limit expires.</p><p>This essentially involves a bit of trial and error, since participants only see how many points their current location is worth. There is also an element of understanding risks and tradeoffs: participants have to decide whether to explore other locations in the room (at the risk of only finding lower-point areas) or just stay put and earn however many points their current location is worth (at the risk of not finding the highest point-earning location). When playing with others, participants may get a sense of where to go by observing where other people in the room are heading.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/5dfd38851f62758d90b3fd8c56d36320f41e128b,tasks/summaries/The Fish game-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Estimating social quantity,"<h2>Estimating social quantity</h2><br><h2>1. Set-Up</h2><p>Participants are given a series of questions on estimating quantities of real-life social phenomena. For example, participants can be asked to estimate the median age in the U.S. in 2009.</p><br><h2>2. Objective / Goal</h2><p>The goal is to answer a series of questions within a fixed amount of time as close to the correct answer as possible without looking up the solutions.</p><p>Participants are evaluated based on the percent difference of their estimation from the correct answer. Participants receive the maximum score if their estimation is exactly like the correct answer and the percent difference between them is 0. Participants maximize their score by submitting an estimation that is as close to the right answer as possible. For example, because the median age in the U.S. in 2009 is 36.7, participants get the maximum score if their estimation is 36.7, while an estimation of 35 years receives a higher score than an estimation of 30 years.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/56341d997c68a41ed859ce2c4e7288a1488379a9,tasks/summaries/Estimating social quantity-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Visual Oddball Target,"<h2>Visual Oddball Target</h2><br><h2>1. Set-Up</h2><p>Participants see several groupings of visual stimuli. For example, they might get a series of Gabor patches. These are circular-shaped patterns with black and white bars oriented in the same direction; the patterns are often used in psychological research because they can create an optical illusion, making for a challenging visual perception task. The participants might get several groups of 6 such patches.</p><p>Sometimes, one of the visual items might be an ""oddball"" (it looks different than the rest). In this case, if participants see 6 patches at a time, the oddball would be a Gabor patch with different level of contrast (it's darker) or have a different pattern than the other 5.</p><br><h2>2. Objective / Goal</h2><p>The goal is to visually identify when there is an oddball versus when there is not.</p><p>The task is focused on visual perception: participants see a grouping, and then need to decide whether one patch looks different than all the others.  They submit their decision by pressing a button using their mouse or a keyboard within a fixed amount of time.</p><p>For example, if participants see a group of 6 Gabor patches, they would press a mouse or a keyboard button when there is an oddball and press nothing when all patches in the group look the same.</p><p>There are only two possible outcomes of task performance. Participants can either correctly identify the oddball or not.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/fa03f0b6cb896c63eb2db85546248d16d324a9a7,tasks/summaries/Visual Oddball Target-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Checkers,"<h2>Checkers</h2><br><h2>1. Set-Up</h2><p>Participants are given an online checkers board. This is an 8x8 board, in which the squares are colored dark and white in alternating colors. Participants start out with 12 round, flat pieces on each side; these are placed on the dark squares on their side of the board.</p><p>The rules of checkers are as follows: </p><ol><li>The two sides take turns playing. One side completes a move, and then the other side plays.</li><li>You can only move a piece diagonally across the board (the game uses only the dark squares). </li><li>A piece can only move diagonally into a square where there are no existing pieces.</li><li>Pieces can only move forward (the only exception is rule #6).</li><li>You can take (or ""capture"") your opponent's pieces by moving diagonally, jumping over the piece being captured, and landing on an unoccupied square. Multiple enemy pieces can be captured in a single turn by jumping forward several times in a row.</li><li>If a piece reaches the other side, it becomes a ""king"" and has an additional piece stacked on top of it. Kings have the additional ability to jump backwards.</li><li>The game ends when one party loses all of its pieces (everything is captured).</li></ol><p>Participants control one side of the board, and a computer controls the other side. When playing as a team, participants discuss their strategy and make their next move together.</p><br><h2>2. Objective / Goal</h2><p>The goal is to win &mdash; to beat the computer (the opponent) in checkers. This involves capturing all of the computer's checkers pieces by following the rules of the game. Participants need to win the game within a fixed time limit, or else they automatically lose.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/bf0d01be1a755fdf6d46fc2ab1fcf5077d11e7bf,tasks/summaries/Checkers-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Reproducing arts,"<h2>Reproducing arts</h2><br><h2>1. Set-Up</h2><p>Participants are given a shared online spreadsheet tool that can be edited, as well as a shared, static copy of a spreadsheet with each cell colored in a different way (the ""target"" spreadsheet).</p><br><h2>2. Objective / Goal</h2><p>The goal is to reproduce the ""target"" spreadsheet in the editable spreadsheet. That is, within a fixed amount of time, participants have to make the shared, editable spreadsheet look like an exact copy of the pattern of colors in the ""target"" spreadsheet.</p><p>Participants receive points for coloring a cell correctly and don't receive points for coloring a cell incorrectlly. They get the maximum score on the task if they reproduce the exact copy of the ""target"" spreadsheet and they try to get the highest score by correctly coloring as many cells as they can.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/7ceec71a09f6765997f516124169b1453d6cfded,tasks/summaries/Reproducing arts-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Computer maze,"<h2>Computer maze</h2><br><h2>1. Set-Up</h2><p>Participants are given a computer monitor with a virtual maze environment and either a keyboard or a joystick. The maze consists of a long winding corridor with many hallways branching off. The hallways are populated by complex unfamiliar objects called ""greebles,"" which are difficult to distinguish from one another. A maze contains a certain number of pairs of identical greebles and a certain number of distractor greebles.</p><br><h2>2. Objective / Goal</h2><p>The goal is to navigate through the entire maze and tag as many identical greeble pairs as possible within a fixed amount of time. </p><p>Participants are evaluated based on maze navigating and greebles tagging. Participants receive points for navigating through the entire maze and don't receive, but also don't lose, any points for not going through the entire maze. Participants get points for tagging identical greeble pairs and lose points for tagging distracing greebles or mixing greebles from other pairs. The maximum score occurs when participants both navigate through the entire maze and tag all greeble pairs correctly.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/2bb706878d0cfc9e5e95fd5845516bc736d9f5ec,tasks/summaries/Computer maze-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Categorization problem,"<h2>Categorization problem</h2><br><h2>1. Set-Up</h2><p>Participants receive 16 cards with pictures of two objects on each one (32 total objects). Half of the objects (16) on the cards are related to each other, and can be grouped into four categories. For example, the categories could be ""vehicles,"" ""animals,"" ""furniture,"" and ""shapes."" There are four objects per category. The remaining 16 objects are distractors. There is one category object and one distractor on each card.</p><p>Participants see all the objects depicted on the cards in a random order. They do not know which objects on the cards belong to the four categories and which are distractors, which makes this task difficult. For example, ""furniture"" may be one of the categories, and participants' cards may include a picture of an armchair, bar stool, office chair and table. However, there may also be distractors, such as an alarm clock and wall clock, which could ""throw off"" someone attempting to figure out the categories &mdash; they may think that the alarm clock, wall clock, and office chair are all related to a category of going to work, and therefore miss the true category of ""furniture.""</p><br><h2>2. Objective / Goal</h2><p>The goal is to identify the 16 cards belonging to categories, and correctly form four categories with them, within a fixed amount of time. </p><p>The task is designed in such a way that it is impossible to form four categories if participants start using distractor objects; there is only one objective way of forming categories so that all cards are used. Participants either complete this task by forming the four objectively correct categories, or they fail.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/7dee968b347ce81be64623baf9d628cdb626b0bf,tasks/summaries/Categorization problem-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Recall stories,"<h2>Recall stories</h2><br><h2>1. Set-Up</h2><p>Participants read one or more stories that are each approximately 4 pages in length. After reading each story, they advance to a different page (where they are no longer able to reference the story), and they see multiple (e.g., 12) reading comprehension questions accompanying the story. Every question has an objectively correct answer based on the text.</p><br><h2>2. Objective / Goal</h2><p>The goal is to correctly answer knowledge questions about the stories within a fixed amount of time. </p><p>Participants are evaluated on the number of correctly answered questions and they earn the maximum score when they answer all questions correctly. Since they cannot reference the stories, they must answer the questions based on their memory of what they read.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/1b76fa649c2d98846c3f1777ac2c04e76a79f74f,tasks/summaries/Recall stories-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Hidden figures in a picture (Searching Task),"<h2>Hidden figures in a picture (Searching Task)</h2><br><h2>1. Set-Up</h2><p>Participants see an incredibly busy and complex image that contains many hidden animals. Imagine a picture that looks like ""Where's Waldo"" &mdash; with lots of people and animals in one detailed, colorful image. Participants are then given a list of animals that they are supposed to find in the picture: for example, lion, penguin, dolphin, elephant.</p><p>If working together, participants in a team see the same picture and have the same list of animals to find.</p><br><h2>2. Objective / Goal</h2><p>The goal of the task is to successfully identify the locations (in the image) of as many animals as possible from the list. Participants must find the most animals they can within a limited period of time.</p><p>Participants submit their response by pointing and clicking on the correct location of the animal, and they get points for every animal that they are able to find. Thus, they would get the highest score if they find all animals on the list. If participants are working together, only one person on the team needs to click on the animal in order for it to be counted, which means that having members of a team search separately is advantageous.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/807b07808432adef059cc23e2261979c4ac6fb34,tasks/summaries/Hidden figures in a picture (Searching Task)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Hidden figures in a picture (Recall Task),"<h2>Hidden figures in a picture (Recall Task)</h2><br><h2>1. Set-Up</h2><p>Participants see an incredibly busy and complex image that contains many hidden animals. Imagine a picture that looks like ""Where's Waldo"" &mdash; with lots of people and animals in one detailed, colorful image. Participants are then given a list of animals that they are supposed to find in the picture: for example, lion, penguin, dolphin, elephant.</p><p>If working together, participants in a team see the same picture and have the same list of animals to find.</p><p>Participants then engage in a task in which everyone working together attempts to find as many animals from the list as they can in the provided image. For example, if ""elephant"" is on the list, they need to look for the elephant in the picture, and then click on it.</p><p>After a delay, participants are taken to a page where they can type and submit words.</p><br><h2>2. Objective / Goal</h2><p>The goal of the task is to be able to recall as many animals as they can from the original list. Participants type and submit the words using the webpage. They have a limited amount of time to submit all the words that they can remember.</p><p>If working together, only one participant on a team needs to remember the word in order for everyone to receive credit.</p><p>Participants are scored based on the number of animals from the original list that they are able to recall. For example, if there were 10 animals on the list, they would get the maximum score if they recalled all 10 animals.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9afb1a0a9ec62d1f6a76383112b86c3084c1fa5e,tasks/summaries/Hidden figures in a picture (Recall Task)-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Word construction from a subset of letters,"<h2>Word construction from a subset of letters</h2><br><h2>1. Set-Up</h2><p>Participants are presented with nine letters. For example: A, F, H, B, E, J, N, K, D.</p><br><h2>2. Objective / Goal</h2><p>The goal is to produce as many valid four-letter English words as possible from a given set of nine letters within a fixed amount of time. For example, out of the set of letters above, words such as ""bean,"" ""head,"", ""khan,"" ""dean"" and many others can be formed. Although there is a theoretical maximum score if participants exhaust all the possible combinations of letters to form four-letter words, the goal is simply to generate as many words as participants can within the time limit.</p><p>Participants submit their words through an online system. Words that are not valid in English or that are longer than four letters will be rejected by the system. Those working in teams can brainstorm in any way they wish; the total number of non-repeated words submitted by the team will be counted.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/f60d4b216f31395c8626cb60ce08256f8cdf18aa,tasks/summaries/Word construction from a subset of letters-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Trivia Multiple Choice Quiz,"<h2>Trivia Multiple Choice Quiz</h2><br><h2>1. Set-Up</h2><p>Participants receive a series of multiple choice trivia questions. For example, participants can be asked about the average weight of an elephant and be given options of 9,000 lbs, 5,000 lbs, and 15,000 lbs.</p><br><h2>2. Objective / Goal</h2><p>The goal is to correctly answer as many questions as possible from a multiple choice trivia quiz within a fixed amount of time and without looking up the solutions online. Participants don't get any points if they answer a question incorrectly and they get points for choosing the correct answer. Participants maximize their score by answering as many questions correctly as they can and get the maximum score if they answer all questions correctly.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/d1055d50cb39beb130cc527dd068197b87614ed7,tasks/summaries/Trivia Multiple Choice Quiz-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Logic Problem,"<h2>Logic Problem</h2><br><h2>1. Set-Up</h2><p>Participants receive a logic problem, which is a story problem with a correct answer that must be deduced via logic. This problem is shared among everyone who is working together.</p><p>Here is an example question: There are five couples who vacationed at five different ski resorts. Based on the clues, figure out which couple vacationed where. Participants would get a set of clues to solve this problem, such as ""Neither Tammy nor Sue vacationed in Innsbruck,"" ""Both Rita and Mrs. Owens returned from their vacations with broken wrists,"" ""no one at Tahoe was injured that weekend,"" and so on. Participants are provided with sufficient clues to be able to solve the question.</p><br><h2>2. Objective / Goal</h2><p>The goal is to use the clues provided to achieve the correct answer in the logic problem. Participants must solve the problem and submit their answer within a limited amount of time.</p><p>In the above example, the participants would use logic to reason that neither Rita nor Mrs. Owens went to Tahoe, since no one at Tahoe was injured. They would then use other clues to match the correct people to the correct vacation locations.</p><p>Participants are scored based on the number of correct matches in the final solution that they get. In this case, since there are five couples and and five ski resorts, participants would get credit for every pair that they are able to match, and they would achieve the maximum score if they get all five pairs correct.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/951fa3e663e027582f5d7b0df8956c9d33ab5690,tasks/summaries/Logic Problem-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Writing story,"<h2>Writing story</h2><br><h2>1. Set-Up</h2><p>Participants receive a writing prompt. Examples include, ""Write a story about this inkblot,"" or ""Describe this mountain scene."" Everyone in the same team gets the same writing prompt.</p><br><h2>2. Objective / Goal</h2><p>The goal is to write a response to the prompt. If working in teams, participants discuss and collectively produce the same story. The work must be submitted online within a fixed time period.</p><p>Since this is an open-ended writing task, there are no right or wrong answers, and anything that addresses the writing prompt is a valid answer. Participants are evaluated based on the quality of their responses (for example, the length, writing quality, and level of creativity).</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/c6f4220a23107878cbf0adb35373ce55450cf934,tasks/summaries/Writing story-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Target Search,"<h2>Target Search</h2><br><h2>1. Set-Up</h2><p>Participants view a labeled spreadsheet with 100 squares on it. The columns are given letters and the rows are given numbers (so, each blank cell has a letter-number coordinate, like A5, E10, etc.).</p><p>While these cells on the spreadsheet appear blank to the participant, each one is actually connected behind the scenes to a specific value that only the experimenter can see. On the experimenter's side, there is essentially an invisible ""target"" &mdash; the cells are grouped into concentric circles. This ""target"" shape determines the point value of each cell. Cells located in the middle of the target are worth more points than cells near the edges of the target. The closer to the center of the target a cell is, the more points it is worth. If a cell is outside of the target entirely, it is worth 0 points.</p><p>For example, imagine that E10 is the center of the target. Then E10 is worth the most points. A cell that is next to the target (E11) is worth the second-most number of points, whereas a cell that is far away from the target (e.g., A5) would be worth fewer points (or zero, if it is outside the target).</p><p>Of course, since the participants do not see the target, they have no idea how many points each cell is worth.</p><br><h2>2. Objective / Goal</h2><p>The goal is to get the most points. In other words, participants need to find the coordinates of as many high-value cells as they can within a fixed amount of time and under a limited number of allowed guesses.</p><p>For each guess, participants submit the coordinate of a blank cell (e.g., A5) and then get feedback about how many points they received. Based on feedback, they would try to figure out where the the experimenter's underlying ""target"" is and look for the high-scoring cells. If they are working in teams, participants work together to determine their next guess.</p><p>After a few guesses, participants can often ""decipher"" the logic of the sheet and will then be able to name the cells corresponding to the largest values. This is why this game is called ""target search"" &mdash; participants are using each guess to learn about where the target is, and to search for the highest-value cells.</p><p>Participants are evaluated based on the values of the cells they name. The score is maximized by naming as many cells with as large values as possible. Theoretically, the best possible score would be to find the center of the target on your first try and then only name the highest-value cells, but this is not likely to happen; most participants will experience some trial and error.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/9ce3cc6fb17d9999491f24e92e9b833e44e3fc4a,tasks/summaries/Target Search-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Wason's Selection Task,"<h2>Wason's Selection Task</h2><br><h2>1. Set-Up</h2><p>Participants are given a conditional sentence in the form of, ""If X, then Y."" They also see four cards, which have either a letter or a number on the front. The cards are double-sided; those with a letter on the front have a number on the back, and vice versa.</p><p>As an example, imagine that the conditional sentence says the following: ""If there is a D on one side of any card, then there is a 3 on its other side.""</p><p>Then, imagine that the four cards are:</p><ol><li>D (front), 3 (back)</li><li>3 (front), K (back)</li><li>B (front), 5 (back)</li><li>7 (front), D (back)</li></ol><br><h2>2. Objective / Goal</h2><p>The goal is to identify which cards, if turned over, would allow the participant to determine if the conditional sentence is true or false. Participants make the selection by clicking on the appropriate cards on the interface.</p><p>Consider the example above: ""If there is a D on one side of any card, then there is a 3 on its other side.""</p><p>This means that if there is a card with D on one side, and something other than 3 on the other side, it would make the sentence false. Thus, the answer for each card is as follows:</p><ol><li>Card #1: We should select this card; if there is something other than 3 on the back, then the statement would be false.</li><li>Card #2: We should NOT select this card; whether the other side is D or not does not affect the truth of this statement. If it is D, then the statement is true; if it is not D, it is simply neutral evidence and does not disprove the statement.</li><li>Card #3: We should NOT select this card; the statement does not say anything about cards with letters other than D.</li><li>Card #4: We should select this card; if there is a D on the back, then the statement would be false (since D would be paired with a number other than 3).</li></ol><p>Selecting Card #1 is an easy decision: since it has a D on the front, it is easy to see that we should check for a 3 on the other side. However, some of the other choices are more difficult and require skillfully applying logic: for example, participants may not notice that they need to check Card #4 to make sure there is not a D on the other side. Participants may also mistakenly choose cards #2 or #3.</p><p>For a given sentence, there is a single correct solution (in the example above, choosing both #1 and #4). If participants correctly select exactly the right cards, then they solve the task correctly. If they do not select enough cards (e.g., picking #1 without picking #4) or if they select too many cards (e.g., picking #1, #2, and #4), then they fail the task.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/4cc6b7fdc8d7a4e89498919cce7f441cbff6c5f5,tasks/summaries/Wason's Selection Task-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Ravens Matrices,"<h2>Ravens Matrices</h2><br><h2>1. Set-Up</h2><p>Participants are presented with a pattern, which looks like a matrix or grid with a white background. There is a missing piece to the pattern.</p><p>Here is an example to help you imagine what the pattern might look like. Participants could see a grid with four spaces. In the first space they see a square, divided into four pieces, with one piece colored in. Then, in the second space, there is a square with two of four pieces colored in. In the third space, there is a square with three of four pieces colored in. After the first three steps in the pattern, there would be a blank space on the grid.</p><p>Participants would then see a few multiple-choice options for what could fill the blank space. For example, they could choose between a square with one, two, three, or four pieces filled in.</p><p>All participants working together see the same pattern.</p><br><h2>2. Objective / Goal</h2><p>The goal is to complete the pattern by identifying what the missing piece should be. </p><p>In the example above, the correct answer is that the fourth space should have a square with four pieces colored in. (That is, successful participants would notice that the first square had one piece colored in; the second had two colored in; the third had three colored in; so, naturally, the fourth should have four colored in.)</p><p>The problem is multiple-choice, so participants will choose just one correct answer from a variety of options. There is always exactly one correct answer in the multiple-choice problem. Participants must make their selection within the time limit.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ce6d7387869c6b04336fc1582f1349e032d67719,tasks/summaries/Ravens Matrices-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
Find the maximum,"<h2>Find the maximum</h2><br><h2>1. Set-Up</h2><p>Participants see an empty text box where they can enter numbers.</p><p>Behind the scenes, there is a hidden function. This hidden function has a maximum value &mdash; for example, the function y = -x<sup>2</sup> reaches its maximum when x = 0. Participants know nothing about the hidden function; they only see the text box.</p><p>When participants enter numbers into the text box, the system will give them feedback about the value of the function at that point. For example, suppose that the hidden function is y = -x<sup>2</sup> and the participant enters 2. Then the system will tell them that the value is -4, since this is the value of -x<sup>2.</sup> If the participant enters -5, the system will tell them that the value is -25.</p><p>As they make guesses, participants see a log, which shows their guesses so far, the feedback they previously received, and how many guesses they have remaining.</p><br><h2>2. Objective / Goal</h2><p>The goal is to correctly guess the maximum value of the hidden function after a limited number of guesses (for which there is feedback after each guess).</p><p>Every problem has an objectively correct answer &mdash; the mathematical maximum of that function. However, participants are not told that they have found the correct answer even when they submit it as their guess. For example, if the hidden function is y = -x<sup>2,</sup> the correct answer is 0. A participant who submits 0 will simply be told that the value of the function at that point is also 0; they will not be told that this is the true maximum. Instead, the participant will just get their fixed number of tries, after which they are required to submit their final guess.</p><p>Participants are scored based on how close their final guess is to the true maximum. If the answer is 0, then the participant gets the highest possible number of points if they guess 0; a participant who guesses 2 will get a higher score than someone whose final guess is 10. Participants aim to get as close as possible to the correct answer.</p><p>Finally, if participants are working together, each one gets a limited number of guesses, and then they decide their final guess as a team.</p>",https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/c205b98896b4deadb50c076b7bce1de8ff4fffdf,tasks/summaries/Find the maximum-writeup.md,https://api.github.com/repos/Watts-Lab/task-mapping/git/blobs/ee55e7a85cb89eba40c35130fb466de11fda7a3f
