task,Q1concept_behav,Q3type_1_planning,Q4type_2_generate,Q6type_5_cc,Q7type_7_battle,Q8type_8_performance,Q9divisible_unitary,Q10maximizing,Q11optimizing,Q13outcome_multip,Q14sol_scheme_mul,Q15dec_verifiability,Q16shared_knowledge,Q17within_sys_sol,Q18ans_recog,Q19time_solvability,Q20type_3_type_4,Q22confl_tradeoffs,Q23ss_out_uncert,Q24eureka_question,Q2intel_manip_1,Q21intellective_judg_1,Q5creativity_input_1,Q25_type6_mixed_motive
Minimum-effort tacit coordination game,0,0.13043478260869565,0.13043478260869565,0.08695652173913043,0.391304347826087,0.17391304347826086,0.13636363636363635,0.5217391304347826,0.5217391304347826,0.6086956521739131,0.391304347826087,0.6956521739130435,0.391304347826087,0.6521739130434783,0.5652173913043478,0.43478260869565216,0.4782608695652174,0.5652173913043478,0.8260869565217391,0.13043478260869565,0.05652173913043478,0.6434782608695652,0.16086956521739132,1
Public goods game,0,0.125,0.08333333333333333,0.16666666666666666,0.30434782608695654,0.08333333333333333,0.08695652173913043,0.5833333333333334,0.21739130434782608,0.375,0.17391304347826086,0.4090909090909091,0.20833333333333334,0.5416666666666666,0.4782608695652174,0.391304347826087,0.43478260869565216,0.8333333333333334,0.8695652173913043,0.125,0.029166666666666667,0.4375,0.2708333333333333,1
The beer game,0.09090909090909091,0.5454545454545454,0.13636363636363635,0.2727272727272727,0.09090909090909091,0.045454545454545456,0.5,0.5714285714285714,0.5,0.5,0.22727272727272727,0.7272727272727273,0.5909090909090909,0.7727272727272727,0.6363636363636364,0.6818181818181818,0.7727272727272727,0.9090909090909091,0.8636363636363636,0.045454545454545456,0.11363636363636363,0.6863636363636364,0.3090909090909091,1
Pharmaceutical Company (hidden-profile),0,0.23809523809523808,0.19047619047619047,0.8095238095238095,0.14285714285714285,0.6666666666666666,0.25,0.5238095238095238,0.7619047619047619,0.9523809523809523,0.19047619047619047,0.9047619047619048,0.55,1,0.7142857142857143,0.7619047619047619,0.9047619047619048,0.7619047619047619,0.8095238095238095,0.09523809523809523,0.06190476190476191,0.8523809523809524,0.1904761904761905,1
Ultimatum game (various versions),0,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.4583333333333333,0.20833333333333334,0.08695652173913043,0.5833333333333334,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.375,0.2916666666666667,0.6086956521739131,0.3333333333333333,0.391304347826087,0.2916666666666667,0.8333333333333334,0.8333333333333334,0.125,0.06666666666666667,0.37916666666666665,0.2875,1
New Recruit,0,0.22727272727272727,0.09090909090909091,0.7727272727272727,0.5909090909090909,0.14285714285714285,0.1,0.6363636363636364,0.4090909090909091,0.22727272727272727,0.09090909090909091,0.3181818181818182,0.18181818181818182,0.5909090909090909,0.21052631578947367,0.38095238095238093,0.2727272727272727,0.9545454545454546,0.8181818181818182,0.045454545454545456,0.045454545454545456,0.4863636363636364,0.38181818181818183,1
Investment Game (aka Trust Game),0,0.21739130434782608,0.13043478260869565,0.17391304347826086,0.22727272727272727,0.13043478260869565,0.22727272727272727,0.6521739130434783,0.08695652173913043,0.21739130434782608,0.21739130434782608,0.34782608695652173,0.17391304347826086,0.6666666666666666,0.22727272727272727,0.22727272727272727,0.2608695652173913,0.8260869565217391,0.9090909090909091,0.043478260869565216,0.052173913043478265,0.30869565217391304,0.26521739130434785,1
Aerospace Investment (Role-playing),0,0.23809523809523808,0.23809523809523808,0.7142857142857143,0.3333333333333333,0.14285714285714285,0.05,0.6666666666666666,0.14285714285714285,0.19047619047619047,0.19047619047619047,0.42857142857142855,0.09523809523809523,0.7619047619047619,0.45,0.5238095238095238,0.2857142857142857,0.8095238095238095,0.7619047619047619,0.047619047619047616,0.1,0.3666666666666667,0.4666666666666667,1
Minimal Group Paradigm (study diversity),0.043478260869565216,0.17391304347826086,0.13043478260869565,0.13043478260869565,0.043478260869565216,0.08695652173913043,0.2608695652173913,0.08695652173913043,0.043478260869565216,0,0.17391304347826086,0.13043478260869565,0.18181818181818182,0.7727272727272727,0.13636363636363635,0.19047619047619047,0.043478260869565216,0.17391304347826086,0.19047619047619047,0,0.06956521739130435,0.0782608695652174,0.30434782608695654,1
Volunteer Investment Game,0,0.36363636363636365,0.22727272727272727,0.13636363636363635,0.5454545454545454,0.045454545454545456,0.35,0.5909090909090909,0.3181818181818182,0.3333333333333333,0.22727272727272727,0.5454545454545454,0.4090909090909091,0.8181818181818182,0.5,0.5,0.5454545454545454,0.9090909090909091,0.8636363636363636,0.047619047619047616,0.1090909090909091,0.5545454545454546,0.26363636363636367,1
Sender-Receiver game,0,0.16666666666666666,0.125,0.13043478260869565,0.5833333333333334,0.16666666666666666,0.09090909090909091,0.5833333333333334,0.34782608695652173,0.2916666666666667,0.25,0.5652173913043478,0.20833333333333334,0.5652173913043478,0.4166666666666667,0.30434782608695654,0.3333333333333333,0.7916666666666666,1,0.041666666666666664,0.04166666666666667,0.43333333333333335,0.325,1
Iterated Snowdrift Game (With Punishment),0.3333333333333333,0.23809523809523808,0.14285714285714285,0.3333333333333333,0.5789473684210527,0.19047619047619047,0.35,0.5714285714285714,0.38095238095238093,0.5714285714285714,0.19047619047619047,0.7,0.3333333333333333,0.8571428571428571,0.47619047619047616,0.6666666666666666,0.6666666666666666,0.9523809523809523,0.9047619047619048,0.14285714285714285,0.32857142857142857,0.6,0.3,1
Dictator game and its variants,0.047619047619047616,0.2857142857142857,0.19047619047619047,0.2857142857142857,0.47619047619047616,0.15,0.3157894736842105,0.7142857142857143,0.2857142857142857,0.23809523809523808,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.8888888888888888,0.3,0.42105263157894735,0.38095238095238093,0.7619047619047619,0.7142857142857143,0.23809523809523808,0.08095238095238096,0.43333333333333335,0.2571428571428572,1
Chicken,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.08695652173913043,0.8260869565217391,0.21739130434782608,0.05,0.6086956521739131,0.17391304347826086,0.30434782608695654,0.17391304347826086,0.4090909090909091,0.17391304347826086,0.6086956521739131,0.30434782608695654,0.36363636363636365,0.30434782608695654,0.9130434782608695,0.9565217391304348,0.043478260869565216,0.06086956521739131,0.4260869565217391,0.26521739130434785,1
Battle of the sexes,0,0.2727272727272727,0.13636363636363635,0.22727272727272727,0.38095238095238093,0.13636363636363635,0.14285714285714285,0.7272727272727273,0.18181818181818182,0.6363636363636364,0.2727272727272727,0.5909090909090909,0.18181818181818182,0.7619047619047619,0.45454545454545453,0.47619047619047616,0.5454545454545454,0.7727272727272727,0.9047619047619048,0.14285714285714285,0.06363636363636364,0.5818181818181818,0.3,1
Apache helicopter flight simulator (Longbow2),0.36,0.32,0.04,0.04,0.32,0.08,0.8,0.96,0.16,0.375,0.16666666666666666,0.5,0.4,0.6521739130434783,0.4583333333333333,0.52,0.44,0.28,0.6,0.08,0.408,0.56,0.308,1
Prisoner's Dilemma (various versions),0,0.2,0.12,0.2,0.5833333333333334,0.12,0.047619047619047616,0.48,0.12,0.375,0.08,0.4166666666666667,0.28,0.64,0.2916666666666667,0.36,0.32,1,0.96,0.12,0.032,0.41200000000000003,0.208,1
Mock jury,0,0.21739130434782608,0.30434782608695654,0.9565217391304348,0.043478260869565216,0.5652173913043478,0.09090909090909091,0.13043478260869565,0.5652173913043478,0.391304347826087,0.2608695652173913,0.3181818181818182,0.043478260869565216,0.8095238095238095,0.3181818181818182,0.43478260869565216,0.18181818181818182,0.8636363636363636,0.5909090909090909,0,0.0391304347826087,0.3652173913043478,0.20869565217391303,1
Biopharm Seltek,0,0.36363636363636365,0.18181818181818182,0.8636363636363636,0.4090909090909091,0.5238095238095238,0.14285714285714285,0.3181818181818182,0.2727272727272727,0.2727272727272727,0.09090909090909091,0.5,0.09523809523809523,0.7272727272727273,0.23809523809523808,0.4090909090909091,0.2727272727272727,0.9090909090909091,0.6190476190476191,0.045454545454545456,0.07272727272727272,0.4272727272727273,0.42272727272727273,1
Iterated Snowdrift Game (Without Punishment),0.42857142857142855,0.13636363636363635,0.09090909090909091,0.18181818181818182,0.45454545454545453,0.2727272727272727,0.23809523809523808,0.5,0.3181818181818182,0.5909090909090909,0.2727272727272727,0.6363636363636364,0.4090909090909091,0.9090909090909091,0.7727272727272727,0.6363636363636364,0.5909090909090909,0.9090909090909091,0.7272727272727273,0.22727272727272727,0.4636363636363636,0.5954545454545455,0.2,1
Investment game (hidden-profile),0,0.30434782608695654,0.21739130434782608,0.9130434782608695,0.21739130434782608,0.5,0.17391304347826086,0.17391304347826086,0.8260869565217391,0.8260869565217391,0.2608695652173913,0.9130434782608695,0.4782608695652174,1,0.782608695652174,0.9090909090909091,0.782608695652174,0.7391304347826086,0.8636363636363636,0.17391304347826086,0.043478260869565216,0.7782608695652175,0.3130434782608696,1
Organization Game,0.05,0.65,0.23809523809523808,0.47619047619047616,0.047619047619047616,0.047619047619047616,0.75,0.42857142857142855,0.23809523809523808,0.3,0.09523809523809523,0.6666666666666666,0.38095238095238093,0.8095238095238095,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.9047619047619048,1,0.047619047619047616,0.17142857142857143,0.6285714285714286,0.43333333333333335,1
TOPSIM - general mgmt business game,0.045454545454545456,0.45454545454545453,0.2727272727272727,0.45454545454545453,0.9545454545454546,0.18181818181818182,0.5454545454545454,0.6363636363636364,0.2727272727272727,0.22727272727272727,0.045454545454545456,0.5,0.45454545454545453,0.7727272727272727,0.4090909090909091,0.5909090909090909,0.5238095238095238,0.8636363636363636,0.9090909090909091,0.045454545454545456,0.1,0.6227272727272727,0.4863636363636364,1
Best job candidate (hidden-profile),0,0.391304347826087,0.21739130434782608,0.9130434782608695,0.08695652173913043,0.5238095238095238,0.21739130434782608,0.30434782608695654,0.8695652173913043,0.9130434782608695,0.391304347826087,0.7391304347826086,0.34782608695652173,0.8695652173913043,0.8260869565217391,0.8260869565217391,0.8695652173913043,0.8695652173913043,0.9130434782608695,0.17391304347826086,0.0391304347826087,0.7565217391304347,0.21739130434782608,1
